rank,model_name,preprocessing,input_name,batch_size,expected_input_channels,source_oof_f1_micro,source_oof_f1_macro,source_config_dir,manifest_path,run_name,planned_run_root,existing_complete_multimodal_run
1,seresnet50,resize_cube128_multiwindowing_separadas,ct_lung_nodule_vessels,8,6,0.5596330275229358,0.4981186196967388,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/seresnet50_nestedcv_focused_20260717_142108_seresnet50_focused/resize_cube128_multiwindowing_separadas__ct_lung_nodule_vessels__bs8,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top01_seresnet50_resize_cube128_multiwindowing_separadas__ct_lung_nodule_vessels__bs8.json,top01_seresnet50_resize_cube128_multiwindowing_separadas__ct_lung_nodule_vessels__bs8_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top01_seresnet50_resize_cube128_multiwindowing_separadas__ct_lung_nodule_vessels__bs8_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/seresnet50_best_test_f1_15runs
2,resnet10,resize_cube64_multiwindowing_separadas,ct_lung_nodule,16,5,0.5550239234449761,0.4600526398279207,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/resnet10_nestedcv_focused_20260717_114010_resnet10_focused/resize_cube64_multiwindowing_separadas__ct_lung_nodule__bs16,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top02_resnet10_resize_cube64_multiwindowing_separadas__ct_lung_nodule__bs16.json,top02_resnet10_resize_cube64_multiwindowing_separadas__ct_lung_nodule__bs16_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top02_resnet10_resize_cube64_multiwindowing_separadas__ct_lung_nodule__bs16_multimodal_only,
3,seresnet50,resize_cube128_hu_m300_1400,ct_lung_nodule,8,3,0.5515695067264574,0.4460708563211966,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/seresnet50_nestedcv_focused_20260717_142108_seresnet50_focused/resize_cube128_hu_m300_1400__ct_lung_nodule__bs8,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top03_seresnet50_resize_cube128_hu_m300_1400__ct_lung_nodule__bs8.json,top03_seresnet50_resize_cube128_hu_m300_1400__ct_lung_nodule__bs8_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top03_seresnet50_resize_cube128_hu_m300_1400__ct_lung_nodule__bs8_multimodal_only,
4,resnet34,resize_small,ct_lung_nodule_vessels,4,4,0.5469387755102041,0.5155889033493658,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/resnet34_nestedcv_focused_20260717_134034_resnet34_focused/resize_small__ct_lung_nodule_vessels__bs4,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top04_resnet34_resize_small__ct_lung_nodule_vessels__bs4.json,top04_resnet34_resize_small__ct_lung_nodule_vessels__bs4_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top04_resnet34_resize_small__ct_lung_nodule_vessels__bs4_multimodal_only,
5,resnet34,resize_small_hu_m300_1400,ct_lung_nodule_vessels,4,4,0.5465116279069767,0.532794713754234,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/resnet34_nestedcv_focused_20260717_134034_resnet34_focused/resize_small_hu_m300_1400__ct_lung_nodule_vessels__bs4,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top05_resnet34_resize_small_hu_m300_1400__ct_lung_nodule_vessels__bs4.json,top05_resnet34_resize_small_hu_m300_1400__ct_lung_nodule_vessels__bs4_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top05_resnet34_resize_small_hu_m300_1400__ct_lung_nodule_vessels__bs4_multimodal_only,
6,resnet18,resize_cube128,nodule_only_masked_ct,8,1,0.5446808510638298,0.5072449855899247,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/resnet18_nestedcv_focused_20260717_105720_resnet18_focused/resize_cube128__nodule_only_masked_ct__bs8,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top06_resnet18_resize_cube128__nodule_only_masked_ct__bs8.json,top06_resnet18_resize_cube128__nodule_only_masked_ct__bs8_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top06_resnet18_resize_cube128__nodule_only_masked_ct__bs8_multimodal_only,
7,resnet18,resize_cube128_hu_m300_1400,ct_lung_nodule_vessels,8,4,0.5401785714285714,0.3974358974358974,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/resnet18_nestedcv_focused_20260717_105720_resnet18_focused/resize_cube128_hu_m300_1400__ct_lung_nodule_vessels__bs8,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top07_resnet18_resize_cube128_hu_m300_1400__ct_lung_nodule_vessels__bs8.json,top07_resnet18_resize_cube128_hu_m300_1400__ct_lung_nodule_vessels__bs8_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top07_resnet18_resize_cube128_hu_m300_1400__ct_lung_nodule_vessels__bs8_multimodal_only,
8,resnet18,resize_small_hu_m600_1500,ct_lung_nodule,4,3,0.5384615384615384,0.5206526466600149,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/resnet18_nestedcv_focused_20260717_105720_resnet18_focused/resize_small_hu_m600_1500__ct_lung_nodule__bs4,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top08_resnet18_resize_small_hu_m600_1500__ct_lung_nodule__bs4.json,top08_resnet18_resize_small_hu_m600_1500__ct_lung_nodule__bs4_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top08_resnet18_resize_small_hu_m600_1500__ct_lung_nodule__bs4_multimodal_only,
9,resnet34,resize_cube64_multiwindowing_separadas,ct_lung_nodule_vessels,16,6,0.5364963503649635,0.4167750039252629,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/resnet34_nestedcv_focused_20260717_134034_resnet34_focused/resize_cube64_multiwindowing_separadas__ct_lung_nodule_vessels__bs16,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top09_resnet34_resize_cube64_multiwindowing_separadas__ct_lung_nodule_vessels__bs16.json,top09_resnet34_resize_cube64_multiwindowing_separadas__ct_lung_nodule_vessels__bs16_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top09_resnet34_resize_cube64_multiwindowing_separadas__ct_lung_nodule_vessels__bs16_multimodal_only,
10,resnet10,resize_small_hu_m600_1500,nodule_only_masked_ct,4,1,0.5348837209302325,0.5253843731001091,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/val_externa_interna/runs/resnet10_nestedcv_focused_20260717_114010_resnet10_focused/resize_small_hu_m600_1500__nodule_only_masked_ct__bs4,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/manifests_top20_multimodal_only/top10_resnet10_resize_small_hu_m600_1500__nodule_only_masked_ct__bs4.json,top10_resnet10_resize_small_hu_m600_1500__nodule_only_masked_ct__bs4_multimodal_only,/mnt/homeGPU/mcribilles/tfm/codigo/DL_multietiqueta/multimodal_multietiqueta/runs/top10_resnet10_resize_small_hu_m600_1500__nodule_only_masked_ct__bs4_multimodal_only,
