fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.68,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.6793662204867574,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.72,0.6956521739130435,0.6666666666666666,0.7692307692307693,0.7161148740394329,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.5,0.5,0.5555555555555556,0.45454545454545453,0.502518907629606,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.52,0.5714285714285714,0.6666666666666666,0.38461538461538464,0.5063696835418333,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.72,0.6666666666666666,0.6363636363636364,0.7857142857142857,0.7071067811865476,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.6599999999999999,0.6594896331738436,0.7177777777777777,0.610909090909091,0.6590631316412658,4,0.001,8
MEAN,TEST,0.624,0.6160828157349896,0.6272727272727272,0.6186813186813186,0.6178684041339665,4,0.001,8
1,VALIDATION,0.85,0.8571428571428571,1.0,0.7272727272727273,0.8528028654224418,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
1,TEST,0.72,0.7407407407407407,0.8333333333333334,0.6153846153846154,0.716114874039433,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.56,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.5547001962252291,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
3,TEST,0.84,0.8571428571428571,1.0,0.6923076923076923,0.8320502943378437,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.45,0.5217391304347826,0.6666666666666666,0.2727272727272727,0.42640143271122083,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.44,0.5333333333333333,0.6666666666666666,0.23076923076923078,0.3922322702763681,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
5,TEST,0.72,0.631578947368421,0.5454545454545454,0.8571428571428571,0.6837634587578276,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.66,0.6815734989648032,0.7844444444444443,0.5563636363636364,0.6518461435921936,4,0.001,8
MEAN,TEST,0.656,0.6710776942355888,0.7424242424242424,0.5714285714285714,0.6357722187273404,4,0.001,8
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
1,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
2,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.8,0.8181818181818182,1.0,0.6363636363636364,0.7977240352174656,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
3,TEST,0.84,0.8571428571428571,1.0,0.6923076923076923,0.8320502943378437,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.5,0.5454545454545454,0.6666666666666666,0.36363636363636365,0.49236596391733095,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
4,TEST,0.56,0.56,0.5833333333333334,0.5384615384615384,0.560448538317805,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.6956521739130435,0.8,0.5,0.6324555320336759,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
5,TEST,0.68,0.6666666666666666,0.7272727272727273,0.6428571428571429,0.6837634587578277,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.67,0.6829688186209926,0.7822222222222223,0.5727272727272728,0.664232834677281,4,0.001,8
MEAN,TEST,0.656,0.6396190476190476,0.6954545454545455,0.6208791208791209,0.6453021759771642,4,0.001,8
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.56,0.56,0.5833333333333334,0.5384615384615384,0.560448538317805,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.84,0.8571428571428571,1.0,0.6923076923076923,0.8320502943378437,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.5,0.5,0.5555555555555556,0.45454545454545453,0.502518907629606,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.48,0.5185185185185185,0.5833333333333334,0.38461538461538464,0.47366546671567095,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.68,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.674199862463242,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.6599999999999999,0.665286734623119,0.7377777777777776,0.5927272727272728,0.6558786027468063,4,0.001,8
MEAN,TEST,0.64,0.6477383357383357,0.7106060606060607,0.5736263736263736,0.6351706142273608,4,0.001,8
