model,set,accuracy_mean,accuracy_std,f1_mean,f1_std,tpr_mean,tpr_std,tnr_mean,tnr_std,gmean_mean,gmean_std,auc_mean,auc_std
CalibratedLinearSVC,train,0.6585,0.12408743815428011,0.45084656342264706,0.2846876034326601,0.35352393617021277,0.23978192635017,0.9322296806966618,0.06365812222469426,0.5151222280836881,0.2606414061129461,0.7300555919579718,0.22010880246016754
CalibratedLinearSVC,val,0.5650000000000001,0.05597618541248889,0.3305500978135249,0.17885676264630415,0.2596590909090909,0.1695031942196106,0.8343406593406593,0.13634477770768139,0.4128454173791501,0.17698620062501574,0.5215763403263403,0.12835905246011128
ExtraTrees,train,0.8362438271604937,0.09753046305959849,0.7964817428933937,0.1281668867165579,0.7216351731459592,0.17309877153294836,0.938466577971295,0.05791977145104557,0.8177129333077808,0.11144131730801585,0.9238440170781321,0.06844659072651885
ExtraTrees,val,0.5451604938271605,0.09206377332321743,0.44682243662134197,0.10600235876189439,0.390530303030303,0.10022730250737787,0.6844186677520011,0.13236833863186,0.5115224612856463,0.09169074880994894,0.5316048406326184,0.10687717559456282
GaussianNB,train,0.63,0.04949747468305831,0.6266116448261685,0.13019281200471144,0.752127659574468,0.3445478466787643,0.5245283018867924,0.37721695458910204,0.5354493503539418,0.08311158562979916,0.7879983646254722,0.0755005169880301
GaussianNB,val,0.608,0.12457929201917946,0.6350280112044817,0.032915861979040166,0.740909090909091,0.2810902132572045,0.4769230769230769,0.48161464130764703,0.46450455854391126,0.1945276687557007,0.6404095904095903,0.15208071513367302
GradientBoosting,train,0.9641111111111111,0.0624808272946989,0.9607774429515389,0.06936281601598858,0.9551960204885737,0.08222135800003978,0.9719588238456163,0.05379097101997879,0.9630494111709418,0.0645252385841774,0.9862431206522017,0.030461269574657095
GradientBoosting,val,0.5211851851851852,0.08866671946282977,0.49818699553959533,0.0782379093549673,0.5060886644219978,0.10925385344589349,0.532051282051282,0.16173518547151816,0.5072114305042266,0.08685896844402129,0.553560791060791,0.1159819560188894
KNeighbors,train,0.8412999999999999,0.16893998097465615,0.8253146360393464,0.18789446720592928,0.8176462765957447,0.20210322775450207,0.8624383164005807,0.1531638079046819,0.8371638933449971,0.1738884171609374,0.8659155009315588,0.15009534378133227
KNeighbors,val,0.508,0.07701501886848519,0.4468978310777221,0.09261033847712202,0.4306818181818182,0.1253843420166768,0.5795604395604396,0.13815065342461105,0.48766637817718567,0.0772438407272078,0.5221911421911422,0.08374862168792697
LogisticRegression,train,0.766875,0.028310831223349178,0.7398288235874318,0.03898513308800004,0.70703125,0.06657524093484492,0.8202694121915821,0.04587570613888667,0.7598803790248346,0.03168438584275056,0.8593530339028194,0.03267113356801281
LogisticRegression,val,0.5765,0.09750170397732041,0.5208705743823189,0.1247519744112357,0.500094696969697,0.15146476794629696,0.646565934065934,0.11150494882553767,0.5608683469885144,0.10289379678670203,0.5836059773559773,0.14574060357416474
RandomForest,train,0.8945277777777778,0.07482959441331852,0.8807556196329319,0.08828229944395241,0.8513051615445233,0.1182479585224956,0.9329862790947696,0.06032712278289312,0.8892677897008489,0.08019308358539505,0.9583045402690744,0.04123562098036198
RandomForest,val,0.5236296296296297,0.07205816395207656,0.468660779216342,0.07527391615945926,0.4495838009726898,0.09989104457594992,0.5879358296024962,0.13465623606202623,0.504944386104526,0.06881050751882806,0.5583675326730883,0.10241137534962245
SVC_RBF,train,0.774,0.15637993331723796,0.6421135892499212,0.35704303185424724,0.6150376773049645,0.35188515152120636,0.9152984397677795,0.15986571299429786,0.635716976895514,0.3750161741994129,0.4614726597481703,0.4020761913695755
SVC_RBF,val,0.552,0.07856948871516241,0.37938847008535054,0.22554805167357234,0.35833333333333334,0.23899691772540174,0.7296703296703296,0.21158817993172585,0.40369140172972884,0.24694688939935314,0.4489016192141192,0.10401186282020891
