fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.68,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.6793662204867574,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.7,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6963106238227914,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.72,0.6956521739130435,0.6666666666666666,0.7692307692307693,0.7161148740394329,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.5,0.5,0.5555555555555556,0.45454545454545453,0.502518907629606,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.52,0.5714285714285714,0.6666666666666666,0.38461538461538464,0.5063696835418333,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.72,0.6666666666666666,0.6363636363636364,0.7857142857142857,0.7071067811865476,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.6599999999999999,0.6594896331738436,0.7177777777777777,0.610909090909091,0.6590631316412658,4,0.001,8
MEAN,TEST,0.624,0.6160828157349896,0.6272727272727272,0.6186813186813186,0.6178684041339665,4,0.001,8
