fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,VALIDATION,0.75,0.6666666666666666,0.5555555555555556,0.9090909090909091,0.7106690545187014,0.7373737373737373,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,0.5512820512820513,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,0.7373737373737373,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.64,0.6086956521739131,0.5833333333333334,0.6923076923076923,0.6354889093022426,0.717948717948718,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,0.6666666666666667,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.44,0.46153846153846156,0.5,0.38461538461538464,0.4385290096535146,0.42948717948717946,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,0.6666666666666666,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.6,0.5,0.4166666666666667,0.7692307692307693,0.5661385170722979,0.5448717948717949,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,0.6200000000000001,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.84,0.8,0.7272727272727273,0.9285714285714286,0.8217814036133182,0.9025974025974026,4,0.001,0,0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.7,0.677121212121212,0.6955555555555556,0.7018181818181819,0.6865560162653939,0.6856161616161616,4,0.001,8
MEAN,TEST,0.608,0.554046822742475,0.5121212121212121,0.6934065934065934,0.5884644602113269,0.6292374292374292,4,0.001,8
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,0.7777777777777778,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
1,TEST,0.6,0.5454545454545454,0.5,0.6923076923076923,0.5883484054145521,0.5576923076923077,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.7,0.625,0.5555555555555556,0.8181818181818182,0.6741998624632421,0.6262626262626263,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.56,0.26666666666666666,0.16666666666666666,0.9230769230769231,0.3922322702763681,0.5641025641025641,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.6565656565656565,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
3,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,0.49358974358974356,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,0.6060606060606062,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.72,0.6666666666666666,0.5833333333333334,0.8461538461538461,0.7025594235292439,0.7307692307692308,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.6666666666666666,0.6,0.8,0.6928203230275509,0.7000000000000001,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
5,TEST,0.88,0.8421052631578947,0.7272727272727273,1.0,0.8528028654224418,0.9415584415584415,4,0.001,0,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.72,0.692017543859649,0.6977777777777778,0.7418181818181818,0.7148981636134895,0.6733333333333335,4,0.001,8
MEAN,TEST,0.648,0.5601786283891547,0.4954545454545455,0.7846153846153847,0.6032654852115734,0.6575424575424575,4,0.001,8
