fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.56,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.5547001962252291,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.44,0.46153846153846156,0.5,0.38461538461538464,0.4385290096535146,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.8,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.7977240352174657,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.44,0.46153846153846156,0.5,0.38461538461538464,0.4385290096535146,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.55,0.47058823529411764,0.4444444444444444,0.6363636363636364,0.5318160234783105,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.68,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.674199862463242,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.71,0.70058229352347,0.76,0.6654545454545454,0.7045402515506977,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.528,0.5104066304066304,0.5272727272727272,0.5274725274725275,0.5172685078821523,4,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,4,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
1,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,4,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.44,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.4385290096535146,4,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.8,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.7977240352174657,4,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
3,TEST,0.76,0.75,0.75,0.7692307692307693,0.75955452531275,4,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.5,0.5833333333333334,0.7777777777777778,0.2727272727272727,0.4605661864718383,4,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,4,0.001,0.0,0.3,8,resize_small_hu_m300_1400_separadas
