fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
2,TEST,0.48,0.38095238095238093,0.3333333333333333,0.6153846153846154,0.4529108136578383,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
3,TEST,0.72,0.7407407407407407,0.8333333333333334,0.6153846153846154,0.716114874039433,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.55,0.4,0.3333333333333333,0.7272727272727273,0.49236596391733095,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
4,TEST,0.4,0.34782608695652173,0.3333333333333333,0.46153846153846156,0.3922322702763681,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.75,0.7619047619047619,0.8,0.7,0.7483314773547882,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
5,TEST,0.52,0.5714285714285714,0.7272727272727273,0.35714285714285715,0.5096471914376256,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
MEAN,VALIDATION,0.6900000000000001,0.6584461152882205,0.6933333333333334,0.6854545454545455,0.6792478509463518,4,0.001,8
MEAN,TEST,0.536,0.5125373821025995,0.5454545454545454,0.5329670329670331,0.5251210691272988,4,0.001,8
1,VALIDATION,0.9,0.9,1.0,0.8181818181818182,0.9045340337332909,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
1,TEST,0.72,0.7407407407407407,0.8333333333333334,0.6153846153846154,0.716114874039433,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
2,TEST,0.44,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.4385290096535146,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.8,0.8181818181818182,1.0,0.6363636363636364,0.7977240352174656,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
3,TEST,0.8,0.8275862068965517,1.0,0.6153846153846154,0.7844645405527362,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
4,TEST,0.6,0.5454545454545454,0.5,0.6923076923076923,0.5883484054145521,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
5,TEST,0.68,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.674199862463242,4,0.001,0,0.3,8,resize_small_hu_m600_1500_separadas
